apple,true
banana,true
orange,true
spinach,true
broccoli,true
carrot,true
salmon,true
tuna,true
almonds,true
walnuts,true
quinoa,true
brown rice,true
whole wheat bread,true
oatmeal,true
greek yogurt,true
chicken breast,true
sweet potato,true
avocado,true
blueberries,true
strawberries,true
hamburger,false
french fries,false
pizza,false
ice cream,false
chocolate cake,false
soda,false
candy,false
chips,false
white bread,false
processed cheese,false
hot dog,false
fried chicken,false
donut,false
cookies,false
energy drink,false
white rice,false
sugary cereal,false
margarine,false
processed meat,false
fast food burger,false 
